id,author_id,created_at,lang,text,retweet_count,reply_count,like_count,quote_count
1595048346351435776,1591920933442187265,2022-11-22 13:35:34+00:00,en,"📺Go Live🔴► Stream 2022🔥

Denmark vs Tunisia

🎬Live🔴►:https://t.co/IWKPuFnxWo

🎬Live🔴►:https://t.co/IWKPuFnxWo

#DENTUN #Denmark #Tunisia #WorldCup2022 #FIFAWorldCup #Qatar2022

FIFA World Cup Qatar 2022

#Denmark

#Tunisia
rtyuoi",0,0,0,0
1595048346305134593,1233950049920593920,2022-11-22 13:35:34+00:00,en,How was the World Cup? Did we win?,0,0,0,0
1595048346300960771,1593626423624974338,2022-11-22 13:35:34+00:00,en,The fact Danny Ward does not get selected to start for the World Cup ahead of Wayne Hennessey who has not played a single Premier League minute this season. https://t.co/o2uPGb2Vgz,0,0,0,0
1595048346246578176,343831294,2022-11-22 13:35:34+00:00,en,"RT @Aarie1: @WelBeast @APresserV2 Messi at the World Cup

Matches: 20
Goals: 7

Lucky Penalty: 5 

Tap ins: 2

Real goals: 0",1,0,0,0
1595048346208636929,883347612987830272,2022-11-22 13:35:34+00:00,en,"RT @FIFAWorldCup: 정국 (Jung Kook) ""Dreamers"" Official Music Video | FIFA World Cup 2022 Official Soundtrack

https://t.co/2vjhri8x19

#Dream…",76366,0,0,0
1595048346171092992,1328397234216562688,2022-11-22 13:35:34+00:00,en,"RT @FIFAWorldCup: 정국 (Jung Kook) ""Dreamers"" Official Music Video | FIFA World Cup 2022 Official Soundtrack

https://t.co/2vjhri8x19

#Dream…",76366,0,0,0
1595048345969766400,1293968976972660736,2022-11-22 13:35:34+00:00,en,"RT @ZER0XBLACK: 정국 (Jung Kook) - Dreamers | FIFA World Cup 2022 Official Soundtrack
https://t.co/8SemqN7OtT
#BTS #방탄소년단 @BTS_twt",2219,0,0,0
1595048345730691074,1593440158304833537,2022-11-22 13:35:34+00:00,en,"RT @FIFAWorldCup: About last night... ✨ 

The FIFA World Cup opening ceremony was spectacular! 🤩

#JungCook | @bts_bighit",9926,0,0,0
1595048345692954625,1155800628800581636,2022-11-22 13:35:34+00:00,en,RT @ESPNFC: This is what the World Cup is all about... https://t.co/olLfRCiNJG,3844,0,0,0
1595048345663414272,165240302,2022-11-22 13:35:34+00:00,en,RT @brfootball: The World Cup. https://t.co/s0HNgYzKdd,15030,0,0,0
1595048345508405248,1580845447052398593,2022-11-22 13:35:34+00:00,en,"@RonMcKinnonLib
@GordJohns
No LGBTQ community is allowed. No female freedom. Everyone will be continuously subjected to surveillance. Islam's radical teachings by Zakir Naik are made prominent features of FIFA world cup 2022.  #BoycottQatar2022 https://t.co/nh2F50Ls8i",0,0,0,0
1595048345281695747,1317764664709632000,2022-11-22 13:35:34+00:00,en,RT @Alhamdhulillaah: 🇸🇦 Saudi Arabia become the first Muslim country to win a game at this World Cup by defeating one of the tournament fav…,556,0,0,0
1595048345265131520,1482238869718564865,2022-11-22 13:35:34+00:00,en,"RT @FIFAWorldCup: 정국 (Jung Kook) ""Dreamers"" Official Music Video | FIFA World Cup 2022 Official Soundtrack

https://t.co/2vjhri8x19

#Dream…",76366,0,0,0
1595048345206394884,1235659654623084546,2022-11-22 13:35:34+00:00,en,RT @brfootball: The World Cup. https://t.co/s0HNgYzKdd,15030,0,0,0
1595048345147670530,730958675511152640,2022-11-22 13:35:34+00:00,en,RT @FOXSoccer: Boats with flags of every FIFA World Cup team are sailing across the Doha bay ⛵️😍 https://t.co/fOfkzSsMER,12,0,0,0
1595048345105731586,1118763379928076288,2022-11-22 13:35:34+00:00,en,RT @glosstannies: The official video of JungKook 'Dreamers' performance at the FIFA World Cup Qatar 2022 Opening Ceremony is now back up on…,155,0,0,0
1595048344912625665,1241720646075322368,2022-11-22 13:35:34+00:00,en,"@__theboyy_ Mr agenda, well-done
That is his first World Cup penalty goal..
No dey lie on top banter",0,0,0,0
1595048344493371398,1495539104812912642,2022-11-22 13:35:34+00:00,en,"RT @bts_bighit: 정국 (Jung Kook) 'Dreamers' @ FIFA World Cup Qatar 2022 Opening Ceremony
https://t.co/VGBge1OkK0

#Dreamers2022 #FIFAWorldCup…",142129,0,0,0
1595048344350498816,1395352929129975808,2022-11-22 13:35:34+00:00,en,RT @brfootball: The World Cup. https://t.co/s0HNgYzKdd,15030,0,0,0
1595048343931326465,1413050524224610306,2022-11-22 13:35:34+00:00,en,@MattMurchison “Baby it’s not ‘football’ it’s the WORLD CUP”,0,0,0,0
1595048343927148545,1542561944019812355,2022-11-22 13:35:34+00:00,en,"RT @brfootball: ▪️ First coach to win two AFCON titles with two different teams
▪️ Took Morocco to first World Cup in 20 years in 2018
▪️ B…",2973,0,0,0
1595048343637741570,1387487841249161216,2022-11-22 13:35:34+00:00,en,RT @no_to_qatar_wc: Twitter is suppressing #BoycottQatar2022. We can’t let that happen. Share and retweet this atrocity of a World Cup. #Bl…,88,0,0,0
1595048343515713537,900690157921214464,2022-11-22 13:35:34+00:00,en,RT @brfootball: The World Cup. https://t.co/s0HNgYzKdd,15030,0,0,0
1595048343247368195,1241380850609999872,2022-11-22 13:35:34+00:00,en,"RT @FIFAWorldCup: 정국 (Jung Kook) ""Dreamers"" Official Music Video | FIFA World Cup 2022 Official Soundtrack

https://t.co/2vjhri8x19

#Dream…",76367,0,0,0
1595048343029354501,4185366135,2022-11-22 13:35:34+00:00,en,"RT @ESPNUK: Neco Williams’ grandfather passed away the day before he made his World Cup debut for Wales.

He wiped away the tears and made…",205,0,0,0
1595048342765330434,1004753636071755776,2022-11-22 13:35:34+00:00,en,"RT @SaddickAdams: Argentina, the bookmakers favorite to win the World Cup, have lost to the weakest team they could ever face in the tourna…",248,0,0,0
1595048342559531011,1378712931723005955,2022-11-22 13:35:34+00:00,en,RT @KookCharts: Jungkook’s world cup opening ceremony performance is back on BANGTANTV! 🚨,7,0,0,0
1595048342437888001,1527089361761738752,2022-11-22 13:35:34+00:00,en,"RT @charts_k: 정국 Jung Kook (of BTS) featuring Fahad Al Kubaisi - Dreamers | FIFA World Cup 2022 Soundtrack MV is out now!

https://t.co/LP5…",1931,0,0,0
1595048342400438275,723305478,2022-11-22 13:35:34+00:00,en,"RT @Klavdi87627538: Denmark vs Tunisia,Live Stream HD
Tunisia vs Denmark
2022 FIFA World Cup
Qatar World Cup 2022

If Stream Stops⤵️🔔
🔴𝐇𝐃 𝐋…",11,0,0,0
1595048342257639424,1160232769861160961,2022-11-22 13:35:34+00:00,en,RT @UtdEIIis: How do countries like Saudi Arabia and America even qualify for the World Cup who are they playing against???,181,0,0,0
1595048342186528768,178406914,2022-11-22 13:35:33+00:00,en,"RT @nytimes: Saudi Arabia beat Argentina, 2-1, at the #FIFAWorldCup in Qatar, in one of the biggest upsets in World Cup history. 

The team…",3,0,0,0
1595048342186512384,2700977233,2022-11-22 13:35:33+00:00,en,"RT @GoldenJKUnivers: “DREAMERS” BY JUNGKOOK

Spotify:
https://t.co/sFKWvHENcv

YouTube:
https://t.co/cL4QK5BaYS

iTunes:
https://t.co/UVChd…",216,0,0,0
1595048341993398272,1470422763139518467,2022-11-22 13:35:33+00:00,en,RT @brfootball: The World Cup. https://t.co/s0HNgYzKdd,15030,0,0,0
1595048341985169411,1421758776705576961,2022-11-22 13:35:33+00:00,en,"RT @bts_bighit: 정국 (Jung Kook) 'Dreamers' @ FIFA World Cup Qatar 2022 Opening Ceremony
https://t.co/VGBge1OkK0

#Dreamers2022 #FIFAWorldCup…",142130,0,0,0
1595048341821423617,969765689606180868,2022-11-22 13:35:33+00:00,en,RT @the_smallie: You fit get sun for flag make your team no shine for World Cup https://t.co/mP0BquNZaK,146,0,0,0
1595048341796450304,1397182069197918208,2022-11-22 13:35:33+00:00,en,"RT @FIFAWorldCup: 정국 (Jung Kook) ""Dreamers"" Official Music Video | FIFA World Cup 2022 Official Soundtrack

https://t.co/2vjhri8x19

#Dream…",76366,0,0,0
1595048341603495938,1379732833288089601,2022-11-22 13:35:33+00:00,en,"RT @NakamotoGames: #NAKAFam, the results are in! 🎉

The winners of the $NAKA #FIFAWorldCup campaign have been determined ⚽️

Each lucky vic…",518,0,0,0
1595048341502656514,1369422728793559044,2022-11-22 13:35:33+00:00,en,"RT @FIFAWorldCup: 정국 (Jung Kook) ""Dreamers"" Official Music Video | FIFA World Cup 2022 Official Soundtrack

https://t.co/2vjhri8x19

#Dream…",76366,0,0,0
1595048341465075712,1291929727,2022-11-22 13:35:33+00:00,en,"RT @Arc__Finance: 📢Launch #Collab #Giveaway for #Wristband

🎁Wear your #Wristband and entry to the #Web3 #WorldCup #Campaign

👀Medium https…",719,0,0,0
1595048341397815297,480173656,2022-11-22 13:35:33+00:00,en,"RT @Phil_Lewis_: LUSAIL, Qatar (AP) — Saudi Arabia beats Argentina 2-1 in one of the greatest World Cup upsets ever.",135,0,0,0
1595048340953378816,1579114889012215809,2022-11-22 13:35:33+00:00,en,"⚽️Denmark Vs Tunisia  🏆

📺 World Cup 2022 

🔴Live HD▶️https://t.co/B9UtPeovtQ

🔴Live SD▶️ https://t.co/B9UtPeovtQ

#FIFAWorldCup #Qatar2022 #DENTUN

» defasf https://t.co/gMYYkL1og2",0,0,0,0
1595048340928221185,1255046535550611457,2022-11-22 13:35:33+00:00,en,"RT @FIFAWorldCup: 정국 (Jung Kook) ""Dreamers"" Official Music Video | FIFA World Cup 2022 Official Soundtrack

https://t.co/2vjhri8x19

#Dream…",76366,0,0,0
1595048340873519105,2444678987,2022-11-22 13:35:33+00:00,en,"This.
This is why the world cup is what it is. https://t.co/3zxaRT3t18",0,0,0,0
1595048340730908678,1589928972325982209,2022-11-22 13:35:33+00:00,en,"RT @orone_benard: Argentina fans: We will be on fire during the world cup
Saudi Arabia:👇😂 https://t.co/5VJrrViIcP",331,0,0,0
1595048340726898688,1299980499050352640,2022-11-22 13:35:33+00:00,en,RT @Al__Quraan: “🇸🇦 Saudi Arabia become the first Muslim country to win a game at this World Cup by defeating one of the tournament favouri…,5,0,0,0
1595048340672192512,1220766803028316160,2022-11-22 13:35:33+00:00,en,RT @HasbullaHive: If Argentina wins the World Cup I will cash app everybody who likes this tweet 100 dollars https://t.co/u53SsZZSfZ,10026,0,0,0
1595048340580110336,1553588532157251584,2022-11-22 13:35:33+00:00,en,RT @brfootball: The World Cup. https://t.co/s0HNgYzKdd,15030,0,0,0
1595048340407861251,1374768355672985600,2022-11-22 13:35:33+00:00,en,"RT @NakamotoGames: #NAKAFam, the results are in! 🎉

The winners of the $NAKA #FIFAWorldCup campaign have been determined ⚽️

Each lucky vic…",518,0,0,0
1595048340366004230,1505431479366696960,2022-11-22 13:35:33+00:00,en,"RT @PoojaMedia: This is the first time Argentina will concede 2 goals in a World Cup first match in 48 years. 

Messi is party of the recor…",124,0,0,0
1595048340303278081,1561595427061133312,2022-11-22 13:35:33+00:00,en,RT @WAKhan337: Saudi Arabian Football ⚽ Players Offering Sajda E Shukr After Defeating 2 Times World Cup Champion🏆 Argentina 🇦🇷 in FIFA Wor…,1,0,0,0
1595048339825135617,1007861820621615104,2022-11-22 13:35:33+00:00,en,"RT @FIFAWorldCup: 정국 (Jung Kook) ""Dreamers"" Official Music Video | FIFA World Cup 2022 Official Soundtrack

https://t.co/2vjhri8x19

#Dream…",76366,0,0,0
1595048339699032064,1367070533033086976,2022-11-22 13:35:33+00:00,en,RT @brfootball: The World Cup. https://t.co/s0HNgYzKdd,15030,0,0,0
1595048339078524928,1502724577176260609,2022-11-22 13:35:33+00:00,en,RT @GaryLineker: That is one of the greatest upsets in World Cup history. Extraordinary performance from Saudi Arabia.,3031,0,0,0
1595048339074342914,1404700454773211137,2022-11-22 13:35:33+00:00,en,"RT @charts_k: 정국 Jung Kook (of BTS) featuring Fahad Al Kubaisi - Dreamers | FIFA World Cup 2022 Soundtrack MV is out now!

https://t.co/LP5…",1931,0,0,0
1595048338445172738,1476159077298237442,2022-11-22 13:35:33+00:00,en,RT @ESPNFC: Messi has equalled Ronaldo's World Cup goal record 👀🔥 https://t.co/iWksVkExzB,1947,0,0,0
1595048338281615360,204883718,2022-11-22 13:35:33+00:00,en,"RT @UsherKomugisha: Give Herve Renard his flowers.

2012: Won AFCON with Zambia
2015: Won AFCON with Côte d’Ivoire
2018: Qualified Morocco…",2095,0,0,0
1595048338277437440,1307232027150897152,2022-11-22 13:35:33+00:00,en,RT @brfootball: The World Cup. https://t.co/s0HNgYzKdd,15030,0,0,0
1595048337715171328,1250241156962816000,2022-11-22 13:35:32+00:00,en,@binnahar85 Worst country for the World Cup.,0,0,0,0
1595048337375469570,24724583,2022-11-22 13:35:32+00:00,en,RT @SkyNews: Saudi Arabia shock Argentina and Messi in one of biggest World Cup upsets ever https://t.co/uy97dZn6Rr,149,0,0,0
1595048337304334337,1285548185251799040,2022-11-22 13:35:32+00:00,en,"RT @FIFAWorldCup: 정국 (Jung Kook) ""Dreamers"" Official Music Video | FIFA World Cup 2022 Official Soundtrack

https://t.co/2vjhri8x19

#Dream…",76367,0,0,0
1595048337274966017,1576091456699535360,2022-11-22 13:35:32+00:00,en,"RT @FIFAWorldCup: 정국 (Jung Kook) ""Dreamers"" Official Music Video | FIFA World Cup 2022 Official Soundtrack

https://t.co/2vjhri8x19

#Dream…",76367,0,0,0
1595048337245237248,960371723869786112,2022-11-22 13:35:32+00:00,en,"RT @FIFAWorldCup: 정국 (Jung Kook) ""Dreamers"" Official Music Video | FIFA World Cup 2022 Official Soundtrack

https://t.co/2vjhri8x19

#Dream…",76366,0,0,0
1595048337056890882,2946637580,2022-11-22 13:35:32+00:00,en,"RT @Castro1021: We made it to the World Cup! 🥹⚽️❤️ 

                                            أحبك حبيبي https://t.co/ihW19cdBi5",565,0,0,0
1595048336813600769,1482039391665201153,2022-11-22 13:35:32+00:00,en,"@fromichu_ @0xsybigwin @sweenpi RONALDU INU 🐶⚽️ 

A MEME COIN ON THE BSC , FIFA WORLD HAS STARTED AND THIS IS THE LAST WORLD CUP FOR CHRISTIANO RONALDO.
SO WE CREATED RONALDO INU TO SUPPORT HIM.

previous project 27x and 7x respectively.
This time we are aiming for 100x.
 
@ronaldoinucn",0,0,0,0
1595048336750694400,985343080617439232,2022-11-22 13:35:32+00:00,en,"RT @IanDoyleSport: The South American champions, the African champions and the Asian champions have already lost at this World Cup and the…",296,0,0,0
1595048336599683072,1155692539917156354,2022-11-22 13:35:32+00:00,en,RT @brfootball: ARGENTINA LOSE THEIR WORLD CUP OPENER TO SAUDI ARABIA 😱 https://t.co/IEk2ZpnpDl,8908,0,0,0
1595048336092196865,789038020154433538,2022-11-22 13:35:32+00:00,en,RT @btschartdata: 정국 (Jung Kook) - Dreamers | FIFA World Cup 2022 Official Soundtrack https://t.co/m0ZmBGtkIs,20103,0,0,0
1595048336050081792,3928914203,2022-11-22 13:35:32+00:00,en,"RT @emelia_yanti: Qatar 2022 World Cup opening tonight. A Message from an Adidas' worker in Indonesia for Lionel Messi, the captain of the…",20661,0,0,0
1595048335815151617,4836923710,2022-11-22 13:35:32+00:00,en,RT @brfootball: The World Cup. https://t.co/s0HNgYzKdd,15030,0,0,0
1595048335786020864,1393304193654476803,2022-11-22 13:35:32+00:00,en,RT @brfootball: The World Cup. https://t.co/s0HNgYzKdd,15030,0,0,0
1595048335701905408,4807699241,2022-11-22 13:35:32+00:00,en,"RT @FIFAWorldCup: 정국 (Jung Kook) ""Dreamers"" Official Music Video | FIFA World Cup 2022 Official Soundtrack

https://t.co/2vjhri8x19

#Dream…",76367,0,0,0
1595048335450451970,1370008406157750273,2022-11-22 13:35:32+00:00,en,"RT @FIFAWorldCup: 정국 (Jung Kook) ""Dreamers"" Official Music Video | FIFA World Cup 2022 Official Soundtrack

https://t.co/2vjhri8x19

#Dream…",76366,0,0,0
1595048335345188865,1451924911610470406,2022-11-22 13:35:32+00:00,en,RT @RajeevGuptaCA: Seats are lying empty at #FIFAWorldCup as Qatar invites Dreaded Muslim Terrorist Zakir Naik to preach Islamic Terrorism…,502,0,0,0
1595048334808711168,1372258809792524289,2022-11-22 13:35:32+00:00,en,"RT @FIFAWorldCup: 정국 (Jung Kook) ""Dreamers"" Official Music Video | FIFA World Cup 2022 Official Soundtrack

https://t.co/2vjhri8x19

#Dream…",76366,0,0,0
1595048334594539522,4906794011,2022-11-22 13:35:32+00:00,en,"RT @FIFAWorldCup: 정국 (Jung Kook) ""Dreamers"" Official Music Video | FIFA World Cup 2022 Official Soundtrack

https://t.co/2vjhri8x19

#Dream…",76367,0,0,0
1595048334514946051,1385377531302490115,2022-11-22 13:35:32+00:00,en,"RT @BlueMove_OA: 🇶🇦 Road to Qatar 2022 

Users who hold the nation flag NFT can join the free-mint pool of the World Cup players' launchpad…",5314,0,0,0
1595048334372249608,1268538463936266243,2022-11-22 13:35:32+00:00,en,RT @brfootball: The World Cup. https://t.co/s0HNgYzKdd,15030,0,0,0
1595048333948715009,1558960319791235073,2022-11-22 13:35:32+00:00,en,"RT @FIFAWorldCup: 정국 (Jung Kook) ""Dreamers"" Official Music Video | FIFA World Cup 2022 Official Soundtrack

https://t.co/2vjhri8x19

#Dream…",76366,0,0,0
1595048333931909120,233477005,2022-11-22 13:35:32+00:00,en,RT @FPLFledgling: Bellingham's price tag after the World Cup https://t.co/ComVtbklhP,4321,0,0,0
1595048333852041216,1447567025505648643,2022-11-22 13:35:32+00:00,en,"RT @FIFAWorldCup: 정국 (Jung Kook) ""Dreamers"" Official Music Video | FIFA World Cup 2022 Official Soundtrack

https://t.co/2vjhri8x19

#Dream…",76366,0,0,0
1595048333617274885,1446841282945507333,2022-11-22 13:35:31+00:00,en,"RT @g_almuftah: Behind the scenes with #MorganFreeMan for the FIFA World Cup Opening Ceremony #GhanimAlMuftah
#غانم_المفتاح 
#FIFAWorldCup2…",715,0,0,0
1595048333290180611,939550021791440896,2022-11-22 13:35:31+00:00,en,RT @Alhamdhulillaah: 🇸🇦 Saudi Arabia become the first Muslim country to win a game at this World Cup by defeating one of the tournament fav…,556,0,0,0
1595048333172953091,1283027174,2022-11-22 13:35:31+00:00,en,"RT @Independent_ie: Roy Keane was embroiled in a heated on-air debate with fellow ITV Sport pundit Graeme Souness, as they looked on in ama…",1,0,0,0
1595048332929683462,1563370876816347139,2022-11-22 13:35:31+00:00,en,"📺  World Cup 2022
🔴LIVE NOW⚽️Denmark vs Tunisia
🔗Live Link🎥▶️ https://t.co/yo9kkavMLZ

  LIVE 🔴► https://t.co/yo9kkavMLZ

  Mobile 📱► https://t.co/yo9kkavMLZ

#FIFAWorldCup🏆 
#Denmark  #Tunisia   #DenvsTun   #QatarWorldCup2022  #FIFAWorldCup  #Qatar2022  
itgujy",0,0,0,0
1595048332769959941,2622981179,2022-11-22 13:35:31+00:00,en,"📺 Watch Live Stream | World Cup 2022

⚽️ 🇩🇰 Denmark vs Tunisia 🇹🇳

▶️Live Link⤵️

🔴➤HD : https://t.co/EsjXU4tJfO

🔴➤SD : https://t.co/EsjXU4tJfO

#تونس_الدنمارك #DENTUN

#FIFAWorldCup2022

⤵️👨🏿‍❤️‍👨🏼⤵️",0,0,0,0
1595048332673458176,1591140149869441024,2022-11-22 13:35:31+00:00,en,"[𝗪𝗔𝗧𝗖𝗛] FIFA World Cup Qatar 2022: Denmark vs Tunisia Live Stream Online Free

📲Mobile⤵️
1⃣ https:https://t.co/H9xKMEYDNB

💻PC⤵️
1⃣ http:https://t.co/H9xKMEYDNB
2⃣ https:https://t.co/H9xKMEYDNB
tryhthuyt",0,0,0,0
1595048332648677376,16418528,2022-11-22 13:35:31+00:00,en,Does this mean Argentina has been knocked out of the world Cup? #FIFAWorldCup,0,0,0,0
1595048332543475712,1594969562998398976,2022-11-22 13:35:31+00:00,en,"Denmark 0-0 Tunisia

Andreas Skov Olsen nearly gets in a position for a shot for Denmark but great defending from Ali Abdi of Tunisia as he gets a vital foot in to nick the ball off Skov Olsen's toes.
LIVE 🔴► https://t.co/sNAYnH17JS

#FIFAWorldCup🏆",0,0,0,0
1595048332489293824,224467257,2022-11-22 13:35:31+00:00,en,"RT @brfootball: ▪️ First coach to win two AFCON titles with two different teams
▪️ Took Morocco to first World Cup in 20 years in 2018
▪️ B…",2973,0,0,0
1595048331956609029,1322794446027517952,2022-11-22 13:35:31+00:00,en,"RT @FIFAWorldCup: 정국 (Jung Kook) ""Dreamers"" Official Music Video | FIFA World Cup 2022 Official Soundtrack

https://t.co/2vjhri8x19

#Dream…",76367,0,0,0
1595048331939840001,156540927,2022-11-22 13:35:31+00:00,en,"RT @brfootball: ▪️ First coach to win two AFCON titles with two different teams
▪️ Took Morocco to first World Cup in 20 years in 2018
▪️ B…",2973,0,0,0
1595048331679780865,1969403034,2022-11-22 13:35:31+00:00,en,"RT @FIFAWorldCup: 정국 (Jung Kook) ""Dreamers"" Official Music Video | FIFA World Cup 2022 Official Soundtrack

https://t.co/2vjhri8x19

#Dream…",76366,0,0,0
1595048331507806211,250652260,2022-11-22 13:35:31+00:00,en,"RT @FIFAWorldCup: 정국 (Jung Kook) ""Dreamers"" Official Music Video | FIFA World Cup 2022 Official Soundtrack

https://t.co/2vjhri8x19

#Dream…",76366,0,0,0
1595048331503603714,1436999191381696513,2022-11-22 13:35:31+00:00,en,"RT @FIFAWorldCup: 정국 (Jung Kook) ""Dreamers"" Official Music Video | FIFA World Cup 2022 Official Soundtrack

https://t.co/2vjhri8x19

#Dream…",76366,0,0,0
1595048331230982145,1576774641632382977,2022-11-22 13:35:31+00:00,en,"RT @FIFAWorldCup: 정국 (Jung Kook) ""Dreamers"" Official Music Video | FIFA World Cup 2022 Official Soundtrack

https://t.co/2vjhri8x19

#Dream…",76366,0,0,0
1595048331126140928,1008935714078142464,2022-11-22 13:35:31+00:00,en,"RT @FIFAWorldCup: 정국 (Jung Kook) ""Dreamers"" Official Music Video | FIFA World Cup 2022 Official Soundtrack

https://t.co/2vjhri8x19

#Dream…",76367,0,0,0
1595048330865803266,1571190142777561090,2022-11-22 13:35:31+00:00,en,RT @Voice_For_India: Zakir Naik faces multiple cases of money laundering &amp; hate speech in India is allowed to preach Islam @ FIFA World Cup…,777,0,0,0
1595048330857701377,3220658768,2022-11-22 13:35:31+00:00,en,RT @brfootball: The World Cup. https://t.co/s0HNgYzKdd,15030,0,0,0
1595048330413105153,113646793,2022-11-22 13:35:31+00:00,en,RT @ndtvfeed: BJP Calls For FIFA World Cup Boycott On Invite To Fugitive Zakir Naik https://t.co/EIiZZLQgzE https://t.co/lQx6NLBvLM,60,0,0,0
1595048330199195648,1199146175921717248,2022-11-22 13:35:31+00:00,en,"RT @FIFAWorldCup: 정국 (Jung Kook) ""Dreamers"" Official Music Video | FIFA World Cup 2022 Official Soundtrack

https://t.co/2vjhri8x19

#Dream…",76366,0,0,0
1595048330085957632,1589523659248795648,2022-11-22 13:35:31+00:00,en,"RT @MetaOraclepro: #MetaOracle WorldCup Event：

😍Come to MetaOracle and bet on the team you support.

💰Reward: 
The top 10 bets for each gr…",3191,0,0,0
1595048329876049920,993215736138125313,2022-11-22 13:35:31+00:00,en,"RT @FotMob: 🇸🇦🧤 Mohammed Al-Owais was the hero as the #GreenFalcons upset Argentina at the World Cup.

⏱ 90 mins
⭐️ 8.6 FotMob rating
🧤 5 s…",2,0,0,0
1595048329653944321,1593967787781001217,2022-11-22 13:35:31+00:00,en,RT @ChartsJJK: Jung Kook currently occupies the top 3 trends on YouTube South Korea with his FIFA World Cup Opening Ceremony performance vi…,120,0,0,0
1595048329406283777,602857118,2022-11-22 13:35:30+00:00,en,"RT @FIFAWorldCup: 정국 (Jung Kook) ""Dreamers"" Official Music Video | FIFA World Cup 2022 Official Soundtrack

https://t.co/2vjhri8x19

#Dream…",76371,0,0,0
1595048329284665348,1266703995290165250,2022-11-22 13:35:30+00:00,en,"RT @AJEnglish: @AJE_Sport Saudi Arabia pulled off one of THE great World Cup shocks with a 2-1 win against Argentina, ending a 36-game winn…",27,0,0,0
1595048329263865857,3325654674,2022-11-22 13:35:30+00:00,en,"📺Go Live🔴► Stream 2022🔥

Denmark vs Tunisia

🎬Live🔴►:https://t.co/cxiExjM5tI

🎬Live🔴►:https://t.co/cxiExjM5tI

#DENTUN #Denmark #Tunisia #WorldCup2022 #FIFAWorldCup #Qatar2022

FIFA World Cup Qatar 2022

#Denmark

#Tunisia

qq
awrfaw",0,0,0,0
1595048329045544969,1427318535416594433,2022-11-22 13:35:30+00:00,en,"@sugadboy @comelythv .@bts_bighit @BIGHIT_MUSIC @FIFAWorldCup
The official video of Jung Kook 'Dreamers' performance at FIFA World Cup Qatar 2022 Opening Ceremony posted on BANGTANTV Channel (https://t.co/UQsYTDMblg) is made unavailable for copyright issue. Please fix the error!!",0,0,0,0
1595048328718614529,443728948,2022-11-22 13:35:30+00:00,en,"@TrollFootball ⚠️MISSING⚠️
Name: Peonel Pessi 🚨 
Last seen: Penalty box 💀
GOAT:  not pessi 😭😭
Biggest fear: Showing up in big games, World Cup, ghost 👻 
Status: Finished 💩
Nation: Small
Owner: Saudi Arabia 🇸🇦 https://t.co/lwJloSnrG8",0,0,0,0
1595048328718389248,1321404445100515336,2022-11-22 13:35:30+00:00,en,"RT @FIFAWorldCup: 정국 (Jung Kook) ""Dreamers"" Official Music Video | FIFA World Cup 2022 Official Soundtrack

https://t.co/2vjhri8x19

#Dream…",76371,0,0,0
1595048328718336000,1016948659,2022-11-22 13:35:30+00:00,en,"RT @ESPNFC: Won the 2012 Africa Cup of Nations with Zambia.

Won the 2015 Africa Cup of Nations with Ivory Coast.

Leads Saudi Arabia to a…",8835,0,0,0
1595048328495931392,1333036882033324033,2022-11-22 13:35:30+00:00,en,"RT @NakamotoGames: #NAKAFam, the results are in! 🎉

The winners of the $NAKA #FIFAWorldCup campaign have been determined ⚽️

Each lucky vic…",518,0,0,0
1595048328483438594,2371878353,2022-11-22 13:35:30+00:00,en,"I was asked about my predictions for this World Cup ⚽️ 🌎 🤔

Will I get any of them right?

Me preguntaron por mis predicciones para este mundial ⚽️ 🌎 🤔

¿Acertaré alguna? https://t.co/bUn3aWM682",0,0,0,0
1595048328470855680,43002906,2022-11-22 13:35:30+00:00,en,"RT @FIFAWorldCup: 정국 (Jung Kook) ""Dreamers"" Official Music Video | FIFA World Cup 2022 Official Soundtrack

https://t.co/2vjhri8x19

#Dream…",76371,0,0,0
1595048328223682560,1269637387082256384,2022-11-22 13:35:30+00:00,en,"RT @Football__Tweet: ⏱️ Full time score:

🇦🇷 Argentina 1-2 Saudi Arabia 🇸🇦

THEY DID IT! THEY HELD ON! WHAT A MOMENT! WHAT A RESULT! 100% D…",323,0,0,0
1595048327938187266,1197482678641184769,2022-11-22 13:35:30+00:00,en,RT @KookCharts: Jungkook’s world cup opening ceremony performance is back on BANGTANTV! 🚨,9,0,0,0
1595048327707783168,1265624851512832001,2022-11-22 13:35:30+00:00,en,"RT @charts_k: 정국 Jung Kook (of BTS) featuring Fahad Al Kubaisi - Dreamers | FIFA World Cup 2022 Soundtrack MV is out now!

https://t.co/LP5…",1933,0,0,0
1595048327489486853,1487508498183340043,2022-11-22 13:35:30+00:00,en,"RT @btssomma: .@bts_bighit @BIGHIT_MUSIC @FIFAWorldCup
The official video of Jung Kook 'Dreamers' performance at FIFA World Cup Qatar 2022…",389,0,0,0
1595048327418200065,1322660238789693445,2022-11-22 13:35:30+00:00,en,RT @brfootball: The World Cup. https://t.co/s0HNgYzKdd,15032,0,0,0
1595048327372046336,1367568737872846854,2022-11-22 13:35:30+00:00,en,Arab hospitality.. Bags put by #Qatar for fans in the opening match of the World Cup containing musk and oud #World_Qatar_2022 #World_Cup_2022 #Qatar_2022 https://t.co/24ytMouVJ5,0,0,1,0
